christians,lgbt,feminists,poor,welfare,conservs,liberals,unions,business,blacks
50,0,30,70,60,50,50,85,30,50
50,50,50,50,30,85,50,50,40,60
50,50,50,60,60,50,50,70,50,30
50,15,50,97,30,50,70,50,40,85
50,50,70,70,50,60,97,50,50,85
50,0,60,97,70,70,70,70,50,85
50,50,60,50,0,60,0,97,50,50
70,85,30,70,70,97,15,0,30,97
97,85,50,85,85,50,60,60,40,97
15,70,50,40,15,40,60,30,85,59
10,75,60,60,50,10,85,85,51,40
50,50,40,60,50,50,30,60,40,30
70,0,40,60,50,70,0,0,85,60
15,50,50,50,50,60,50,15,60,50
50,50,60,60,40,85,50,40,70,70
60,50,50,60,60,70,30,15,60,50
60,60,50,60,40,60,60,40,30,40
50,50,50,50,40,50,50,40,50,50
0,50,70,50,50,50,50,60,40,97
97,60,70,70,30,50,70,30,40,60
70,50,60,70,60,70,60,50,60,70
50,30,70,60,50,40,60,40,50,50
30,70,85,85,85,60,60,70,85,70
50,50,50,60,50,50,50,50,60,15
99,99,99,99,99,99,99,99,99,99
30,50,50,50,30,70,30,60,70,40
60,40,60,70,60,60,40,60,60,50
60,60,60,60,60,60,60,60,0,50
97,50,50,70,0,50,30,97,50,85
85,85,85,85,70,85,40,70,85,85
85,97,70,97,60,70,60,40,85,97
15,85,70,70,70,30,70,70,40,97
50,50,60,50,15,60,60,40,40,85
50,50,50,50,15,50,50,70,30,50
50,50,50,97,40,50,50,30,50,5
50,50,50,97,30,60,50,0,0,50
50,85,30,70,40,60,50,70,50,60
70,97,99,70,60,15,50,85,85,40
40,85,60,70,65,70,65,90,50,70
50,50,50,98,50,50,50,50,40,97
40,60,60,60,55,45,55,60,55,65
51,97,68,97,90,70,50,90,85,97
99,99,99,99,99,99,99,99,99,99
50,50,60,97,60,70,60,60,60,60
50,50,85,97,97,70,50,85,85,97
50,50,30,40,50,60,50,50,50,50
97,15,60,70,85,85,97,50,50,97
15,97,50,50,50,30,97,60,15,50
0,70,30,50,50,15,15,0,85,85
50,50,50,50,40,40,70,50,40,60
60,50,50,50,50,60,40,60,50,50
40,35,70,60,50,30,97,70,50,85
40,60,40,40,40,70,40,30,40,85
15,70,60,70,50,60,70,60,50,70
75,30,75,95,50,60,60,65,70,70
50,50,0,50,15,60,50,85,30,50
50,0,50,97,50,75,15,97,50,85
99,99,99,99,99,99,99,99,99,99
50,70,50,85,15,50,50,30,50,50
40,70,50,60,60,50,60,40,40,60
60,50,15,85,70,85,30,40,60,70
40,85,70,60,40,40,60,60,30,90
50,50,50,97,50,50,50,50,30,50
50,50,50,60,50,50,50,85,15,60
60,50,50,85,60,70,50,50,65,50
50,97,70,97,85,70,30,40,50,97
99,99,99,99,99,99,99,99,99,99
50,50,50,85,50,60,50,60,85,50
30,15,60,70,40,30,60,60,30,60
99,40,60,60,70,70,50,30,30,50
99,99,99,99,99,99,99,99,99,99
40,50,60,60,50,55,70,70,60,50
15,85,40,70,70,70,40,30,70,85
40,70,70,85,60,40,70,60,40,70
50,70,40,50,30,60,50,40,40,97
30,50,40,50,40,70,15,30,60,40
70,70,50,85,70,50,60,70,60,70
0,50,30,70,50,30,60,0,15,40
50,50,50,60,60,50,60,60,40,50
50,40,60,60,50,30,60,50,50,60
50,60,50,50,40,97,60,0,97,50
98,0,99,15,30,85,0,15,60,40
30,0,15,97,15,60,30,70,50,70
85,50,40,85,50,70,40,30,50,97
60,70,70,70,70,70,70,60,50,50
99,99,99,99,99,99,99,99,99,99
50,70,85,70,50,50,50,70,60,85
15,60,60,60,60,15,70,70,50,30
70,50,70,70,60,50,70,70,15,99
40,70,40,60,40,30,60,70,60,60
60,70,60,70,30,50,50,85,30,50
50,85,85,85,70,30,85,85,60,60
50,50,50,85,85,60,50,97,60,50
98,70,40,70,60,98,98,40,40,70
50,97,97,85,50,50,50,60,60,50
15,50,50,97,60,0,0,0,0,30
85,97,85,70,40,30,85,70,0,97
30,50,50,60,50,50,50,15,60,50
60,40,40,50,30,70,40,50,60,70
98,50,98,50,30,50,40,15,50,50
99,99,99,99,99,99,99,99,99,99
30,60,60,60,60,50,60,60,60,50
15,85,70,70,70,0,85,70,40,97
50,50,60,97,70,60,85,70,40,70
60,50,40,50,50,90,45,70,50,85
70,50,50,30,70,50,98,50,85,70
50,15,85,85,70,15,85,85,70,97
60,70,85,60,60,50,85,40,70,50
60,50,40,60,60,40,60,60,30,50
70,15,60,85,70,50,15,15,70,70
0,50,40,50,30,30,30,30,30,85
10,50,50,60,70,30,90,70,20,70
60,85,60,60,40,60,60,70,50,85
50,30,15,85,50,50,70,70,15,85
40,70,60,70,50,40,85,70,30,97
0,70,60,70,50,50,60,60,70,85
15,60,60,70,60,30,85,85,40,85
15,0,15,85,70,50,15,80,15,70
50,50,50,50,50,50,50,50,50,50
40,85,60,97,50,85,60,50,50,85
60,60,70,85,60,85,70,97,60,40
70,60,60,60,50,70,40,0,50,50
99,99,99,99,99,99,99,99,99,99
50,50,40,85,40,50,50,85,50,70
40,50,60,60,50,50,60,60,40,50
85,50,60,97,97,60,60,70,85,85
99,99,99,99,99,99,99,99,99,99
60,70,70,70,50,60,60,60,40,70
99,99,99,99,99,99,99,99,99,99
50,50,50,60,50,60,50,50,40,50
30,60,40,70,40,60,30,15,30,97
50,50,50,70,50,50,50,15,40,99
50,50,40,70,30,70,15,15,40,40
40,40,50,40,40,50,50,40,50,50
50,50,50,70,70,50,50,70,50,60
40,70,50,85,50,40,40,40,50,50
50,85,85,97,50,70,97,60,40,97
50,50,60,85,98,50,50,50,40,70
50,50,60,60,60,50,60,60,85,50
70,50,50,85,30,50,50,50,70,85
50,0,0,60,40,50,60,40,40,70
40,50,60,50,0,60,60,40,60,50
0,85,70,70,70,99,70,50,70,70
98,60,30,97,50,60,15,98,60,50
70,30,40,60,40,85,40,40,85,40
70,50,70,97,40,50,50,50,15,85
98,90,90,90,40,97,98,70,40,85
99,99,99,99,99,99,99,99,99,99
50,30,15,70,0,50,0,50,0,60
70,97,70,97,85,60,40,97,60,60
85,85,97,50,70,50,70,97,0,97
85,70,70,85,85,85,60,85,85,97
50,30,70,0,0,60,85,85,85,70
0,50,70,85,30,50,15,50,70,97
85,97,85,97,97,50,50,97,50,97
0,0,0,97,97,0,0,50,50,50
60,60,97,97,60,70,60,40,0,70
30,98,50,40,98,40,50,40,40,60
99,99,99,99,99,99,99,99,99,99
5,2,5,3,5,5,4,5,2,85
50,70,0,70,60,60,50,40,70,50
0,50,60,70,60,60,60,60,40,50
50,50,50,50,50,50,50,50,70,50
50,0,99,97,70,60,99,50,40,60
85,70,70,85,70,70,70,70,85,97
40,60,40,50,40,40,60,40,60,70
50,50,50,70,50,50,50,50,60,60
50,0,99,70,60,60,40,40,40,70
85,0,30,97,85,50,50,98,15,40
85,0,70,97,60,70,85,40,85,70
60,50,50,85,85,60,30,40,50,50
50,50,50,50,50,50,50,50,30,50
60,50,60,60,60,50,50,50,40,60
15,50,50,50,59,40,60,60,30,50
0,50,50,70,40,50,70,50,30,60
50,50,50,40,40,40,70,70,40,40
70,70,85,70,40,60,60,60,60,40
30,40,30,60,40,60,60,60,40,85
4,90,90,97,90,40,90,90,40,90
30,50,70,60,50,60,50,70,0,50
40,50,60,50,50,40,60,50,50,50
25,50,50,60,50,50,60,60,60,50
50,50,60,50,50,70,60,70,70,70
50,50,50,50,50,50,50,97,50,50
60,50,30,70,40,85,30,0,60,50
99,70,85,70,40,40,60,85,30,60
70,30,60,85,50,70,85,97,85,50
70,50,50,50,70,50,50,40,70,50
50,70,30,85,40,60,40,40,70,60
15,30,70,85,50,50,50,85,15,50
85,85,70,85,85,40,85,85,60,97
70,0,40,97,70,50,0,30,97,85
50,85,50,50,50,40,60,40,30,85
85,60,50,97,70,50,70,60,60,97
70,50,40,40,40,40,50,60,40,50
50,15,40,97,60,50,50,60,60,50
85,70,60,97,40,97,70,30,40,85
50,50,50,50,50,50,50,50,50,50
85,70,30,60,97,50,50,70,70,99
99,99,99,99,99,99,99,99,99,99
50,50,50,70,40,50,50,50,40,97
0,50,60,60,52,40,40,50,50,97
99,0,99,50,50,30,99,40,15,85
97,97,50,97,50,0,50,97,0,10
98,70,85,97,70,0,60,97,60,97
98,40,60,70,40,50,50,85,50,97
0,97,50,97,50,60,40,50,50,50
60,15,50,60,40,70,60,60,60,60
98,15,85,97,15,85,30,30,60,50
50,60,0,85,70,70,50,70,70,70
98,15,85,97,85,70,40,60,85,65
50,97,70,85,60,70,70,70,50,50
85,15,40,70,60,85,40,40,70,70
60,0,50,60,60,40,50,60,40,30
85,15,50,60,15,97,0,40,97,70
85,0,15,70,15,97,0,15,70,30
85,50,50,85,40,85,15,40,50,85
0,85,70,70,40,20,75,65,50,97
30,50,60,60,60,0,60,15,30,50
0,50,70,60,50,30,70,70,50,85
0,97,97,97,85,70,70,85,60,97
15,85,97,50,60,15,70,70,30,85
40,60,50,70,50,40,60,40,40,60
80,80,50,80,80,60,70,80,30,70
70,15,40,60,40,40,40,85,50,15
85,60,50,97,60,60,40,85,60,70
50,50,0,50,50,50,50,50,50,97
97,70,50,85,60,85,0,30,85,50
60,60,40,85,60,70,40,40,60,40
30,97,97,85,70,15,97,50,50,70
97,0,0,85,40,97,0,15,85,97
60,40,85,85,60,60,30,60,30,70
30,50,30,50,40,40,30,15,50,70
50,50,50,70,0,70,50,50,50,50
50,50,30,50,50,97,30,30,85,40
85,40,70,97,60,98,0,97,60,50
50,30,50,60,50,70,40,60,40,60
40,15,50,70,30,15,85,50,40,60
50,60,97,97,50,25,70,25,25,97
99,0,99,60,70,99,99,99,50,97
50,97,50,75,0,0,50,50,50,70
50,85,15,97,85,70,85,50,85,85
15,70,80,70,70,15,75,65,15,97
70,15,60,20,10,60,50,70,50,50
40,50,60,70,60,70,60,85,50,60
98,0,50,98,20,97,10,50,75,40
98,98,98,70,70,70,85,98,97,99
15,50,50,98,70,30,60,51,40,50
40,50,50,70,40,60,40,50,50,50
50,50,50,50,50,85,30,15,70,50
40,50,50,60,50,50,50,30,30,50
50,97,97,85,70,30,85,97,50,85
70,85,50,97,50,70,85,70,40,50
50,40,50,70,60,40,40,97,85,50
30,50,85,70,50,60,70,40,40,50
97,70,70,97,97,40,50,50,70,50
85,50,50,70,40,70,50,60,60,50
70,0,0,97,60,85,15,15,60,85
85,0,60,85,40,70,50,0,70,70
99,99,99,99,99,99,99,99,99,99
60,50,70,50,60,50,50,85,85,60
50,30,50,85,70,60,50,85,60,99
60,50,70,85,60,70,50,30,70,50
50,0,50,50,50,50,50,50,85,85
50,50,50,50,50,50,50,50,50,50
0,0,0,97,75,0,85,50,0,85
50,30,20,50,20,78,0,50,80,50
50,0,50,97,50,50,50,97,50,50
85,40,60,60,60,50,40,40,60,60
85,0,50,85,50,40,40,70,60,85
99,99,99,99,99,99,99,99,99,99
50,50,50,50,50,60,50,50,50,50
70,97,30,85,50,50,60,85,50,70
0,0,50,97,40,70,30,0,97,70
50,50,50,50,50,98,50,50,50,60
60,50,60,85,85,60,60,60,60,70
70,25,30,50,20,45,35,50,75,50
50,70,50,50,50,50,50,50,50,40
99,99,99,99,99,99,99,99,99,99
85,50,50,97,85,60,70,70,70,50
50,0,50,85,0,70,50,0,40,0
60,0,15,97,0,70,50,85,40,50
97,97,85,97,97,60,85,85,60,97
50,50,70,50,50,97,50,50,70,70
70,70,70,70,70,70,50,50,30,5
70,50,70,97,0,85,60,0,40,70
70,85,85,85,85,85,85,70,70,85
50,70,85,70,70,40,70,50,60,70
50,50,70,50,50,70,50,70,50,97
50,50,50,50,50,50,60,50,50,5
50,60,60,60,60,60,60,50,60,50
50,50,50,50,50,60,40,40,50,50
99,50,50,50,40,99,99,99,50,50
15,50,60,60,60,15,60,60,50,70
40,50,40,70,40,50,50,60,40,50
97,3,25,75,50,75,45,55,60,50
50,25,50,75,25,50,50,97,75,6
50,85,50,85,85,50,50,50,50,97
97,75,0,97,75,50,50,50,50,50
40,50,50,50,40,50,50,40,60,50
97,15,0,70,15,97,0,15,85,30
70,50,0,60,15,85,30,0,60,70
40,85,50,50,35,0,0,0,50,50
50,30,30,75,25,85,25,30,75,60
50,50,50,85,0,85,40,50,30,85
50,97,50,85,40,60,60,60,70,85
99,99,99,99,99,99,99,99,99,99
50,50,50,60,50,70,30,0,70,50
85,60,60,15,0,60,50,15,70,15
40,97,85,97,70,30,85,60,30,97
20,97,10,79,78,3,90,50,30,5
30,97,85,85,70,40,85,70,40,85
98,50,98,98,98,98,98,60,98,70
70,50,70,70,30,50,50,60,30,50
97,15,50,97,60,97,15,50,60,97
30,50,40,70,40,85,0,85,15,70
50,50,40,70,40,40,50,50,40,50
97,50,85,97,70,97,97,85,97,85
50,60,99,50,50,99,99,50,99,50
40,85,50,70,40,50,50,40,40,70
50,97,40,60,30,60,50,60,60,50
40,15,60,60,30,70,70,15,60,30
50,0,50,85,50,60,40,0,70,50
15,70,70,60,50,45,75,80,35,85
50,50,50,50,50,40,50,50,50,50
50,0,85,97,97,85,85,85,50,70
85,70,70,85,60,50,60,60,85,85
60,85,60,85,70,40,70,70,50,85
50,50,50,50,50,50,50,50,50,50
30,50,50,50,50,40,60,50,15,60
10,97,50,70,45,35,75,75,65,50
99,99,99,99,99,99,99,99,99,99
50,50,50,50,50,50,50,50,50,50
85,50,70,85,50,50,50,70,60,0
55,97,85,90,70,35,80,45,50,50
40,50,50,50,50,50,40,50,50,50
60,60,70,60,60,30,70,85,50,85
97,50,50,97,85,60,50,85,60,85
85,85,70,85,40,15,15,40,70,97
60,0,97,97,50,0,50,97,50,97
99,99,99,99,99,99,99,99,99,99
50,50,50,60,50,59,50,50,60,99
70,50,60,70,60,50,50,50,70,85
50,50,50,70,30,97,50,15,97,85
60,97,70,70,70,50,50,60,50,40
0,97,70,97,50,0,60,85,40,60
50,0,50,97,60,60,50,70,70,60
97,50,0,60,60,70,50,50,50,97
40,50,40,70,30,40,50,30,50,50
50,50,50,50,60,40,50,85,15,97
60,0,98,70,40,50,50,85,40,60
50,0,0,15,0,40,40,60,85,60
70,70,70,85,40,30,70,30,30,30
97,15,60,97,40,70,85,70,70,85
15,50,60,85,50,30,70,60,15,50
85,50,50,85,60,60,50,85,50,40
85,85,97,97,50,97,70,85,40,97
50,50,60,70,50,50,50,60,40,60
15,85,50,70,40,15,97,70,40,50
70,50,60,97,85,97,85,60,85,15
50,50,50,70,40,50,50,70,60,50
60,85,40,97,97,70,60,15,0,70
40,40,15,85,50,50,40,50,15,30
60,60,70,85,50,50,60,85,85,60
97,60,70,85,60,85,60,70,85,70
99,99,99,99,99,99,99,99,99,99
50,50,70,50,50,30,70,60,30,15
50,50,50,50,85,50,50,40,50,85
50,50,50,50,50,50,50,50,50,97
0,97,85,85,50,15,0,97,0,70
70,0,50,50,40,50,50,50,70,50
50,60,99,70,40,70,60,70,85,60
50,97,50,70,70,50,85,70,50,70
60,85,99,60,50,50,99,99,70,70
30,97,85,97,50,50,50,15,30,97
50,30,50,85,70,85,60,60,40,85
70,50,50,97,60,50,50,97,85,85
40,50,0,97,0,60,50,0,40,50
60,70,60,97,40,60,50,60,30,85
40,60,40,60,30,60,50,40,50,97
60,50,50,50,70,70,50,50,70,60
40,97,70,97,97,60,70,60,60,97
85,0,0,85,15,85,0,60,85,50
50,70,50,85,40,60,40,50,60,70
85,60,60,85,50,60,60,70,60,60
50,60,50,70,0,60,30,50,60,60
60,50,50,60,70,50,50,60,50,50
99,99,99,99,99,99,99,99,99,99
97,0,0,97,50,60,50,85,85,97
97,40,99,60,85,85,50,97,70,85
50,0,85,97,70,85,50,70,50,97
60,70,40,85,85,50,70,50,70,97
60,50,60,97,70,60,60,60,60,97
50,50,0,97,50,97,0,50,0,97
85,40,70,85,50,15,70,70,15,97
85,97,97,97,85,50,50,85,40,97
97,70,30,97,70,85,85,60,70,97
85,50,50,50,50,50,85,50,50,97
60,30,30,60,50,60,40,50,30,90
99,50,60,85,70,85,70,85,85,60
97,0,60,85,85,70,50,50,85,85
85,50,50,97,60,50,50,50,50,97
0,50,50,60,50,50,0,50,15,60
50,50,30,50,40,30,50,60,0,70
99,30,40,65,60,50,40,65,65,97
97,50,50,50,40,50,50,70,70,70
70,50,70,85,85,50,85,60,85,85
50,60,60,40,30,40,60,50,40,60
50,50,60,70,60,30,70,60,30,85
70,60,70,85,70,30,40,85,70,97
70,70,50,97,97,70,60,85,60,97
50,50,50,50,50,50,50,50,15,50
50,70,60,85,85,40,85,70,70,97
70,50,60,70,40,50,50,50,70,70
97,70,50,97,97,50,50,50,50,50
50,50,99,97,97,85,60,97,50,85
50,50,60,50,50,50,50,30,40,70
50,50,70,85,50,60,60,70,60,97
97,70,98,98,98,99,99,70,85,97
0,70,40,20,0,30,40,0,10,50
97,97,0,97,97,40,97,97,97,97
60,50,70,85,50,60,50,60,50,85
97,0,85,40,30,98,50,60,97,85
50,60,50,70,50,40,40,50,50,97
50,50,70,50,50,50,50,85,70,97
99,99,99,99,99,99,99,99,99,99
85,97,50,97,85,60,85,85,85,85
50,50,50,50,50,50,50,50,50,50
70,60,60,97,85,70,60,70,70,99
60,70,70,70,40,60,70,50,85,85
30,30,50,50,15,40,50,60,50,97
50,70,97,85,85,50,50,70,85,97
85,50,50,97,40,85,50,97,50,80
50,40,60,97,85,60,60,50,60,97
99,99,99,99,99,99,99,99,99,99
70,50,50,70,50,60,70,60,60,97
70,30,40,70,70,70,60,40,60,70
50,50,70,97,30,40,70,70,50,70
50,85,50,85,70,50,70,70,50,85
70,0,0,85,70,0,50,50,50,70
60,50,60,70,60,60,70,70,40,70
70,70,60,85,70,30,85,60,70,70
99,99,99,99,99,99,99,99,99,99
50,0,98,70,60,40,70,70,50,97
99,99,99,99,99,99,99,99,99,99
50,50,50,60,50,50,50,50,85,97
50,0,30,97,70,50,50,97,60,85
97,0,97,97,97,30,85,97,35,97
60,50,50,30,60,60,60,60,70,70
60,50,85,85,97,30,60,40,30,85
50,50,50,30,15,50,50,85,85,97
50,60,50,97,97,50,30,50,70,85
70,85,85,97,85,70,60,70,60,85
50,60,15,60,70,50,85,97,70,97
90,85,50,65,50,50,90,85,45,95
50,70,70,70,97,15,50,60,85,50
50,50,50,70,50,50,50,70,40,97
50,97,70,85,50,30,85,50,30,85
98,85,60,50,50,60,70,60,70,85
50,50,40,85,60,50,50,70,50,97
70,98,98,98,98,99,98,98,98,97
50,50,50,50,50,50,50,50,50,85
0,97,30,97,40,0,97,97,40,50
50,97,97,50,50,60,70,50,50,60
60,50,70,70,60,60,40,30,30,70
70,0,0,30,15,50,15,97,97,70
50,70,99,97,50,40,15,70,85,70
0,50,50,60,40,15,70,60,30,40
70,15,40,97,97,40,85,85,85,70
50,30,50,80,85,50,70,50,70,50
85,97,60,97,40,50,50,97,60,70
97,97,85,97,85,85,85,70,70,97
50,50,50,70,70,50,50,60,50,70
70,50,50,70,60,50,50,70,70,60
60,70,50,97,60,60,70,70,70,60
50,85,97,85,15,60,50,30,30,50
99,99,99,99,99,99,99,99,99,99
99,99,99,99,99,99,99,99,99,99
40,70,50,85,40,50,60,60,40,50
97,30,0,85,40,60,40,15,60,70
70,60,60,60,60,60,60,60,60,70
99,99,99,99,99,99,99,99,99,99
99,99,99,99,99,99,99,99,99,99
50,85,50,50,50,50,50,50,50,97
99,50,50,97,50,99,50,15,30,50
99,99,99,99,99,99,99,99,99,99
70,60,97,70,60,60,70,85,70,97
98,98,98,97,98,30,40,40,98,97
60,50,50,97,97,97,50,70,50,97
50,70,70,85,85,70,60,85,70,85
40,70,50,85,50,30,40,85,50,85
60,40,60,60,50,60,60,55,60,85
60,0,30,60,85,50,60,85,60,85
85,50,50,70,70,50,0,97,50,85
40,70,98,97,97,15,60,85,0,85
50,85,70,97,60,50,50,85,40,70
50,50,50,60,50,50,50,60,50,97
99,50,99,97,50,70,70,40,0,85
70,50,85,97,50,40,50,97,40,97
98,20,98,45,40,98,75,70,44,97
85,0,15,85,40,85,15,85,60,40
85,85,97,85,97,70,85,85,70,97
30,97,97,40,30,15,97,97,30,50
99,30,99,70,50,99,99,70,50,75
99,99,99,99,99,99,99,99,99,99
99,99,99,99,99,99,99,99,99,99
97,50,50,85,50,50,50,70,50,85
60,40,60,60,30,40,60,60,60,50
60,70,85,70,85,70,60,70,70,30
70,85,85,70,50,60,50,30,40,85
99,50,70,50,50,99,50,50,50,50
97,0,98,85,60,70,0,99,97,97
60,20,50,80,0,60,60,10,60,85
50,50,50,97,70,50,50,50,50,50
85,40,15,85,40,50,50,70,15,85
50,97,40,97,85,60,50,50,70,50
99,50,15,70,85,85,70,85,70,85
60,85,85,97,15,60,60,60,60,50
99,85,85,70,50,60,97,60,97,70
50,50,50,97,60,50,50,60,50,40
50,50,50,60,60,60,60,70,70,60
99,50,50,50,40,50,40,50,98,50
97,0,30,70,60,70,50,40,30,85
50,98,50,70,50,50,30,50,30,85
98,98,98,98,98,98,98,85,0,97
99,0,0,97,60,97,0,15,85,97
70,70,70,85,70,85,15,60,70,70
50,50,50,85,50,99,99,50,85,60
50,97,85,50,50,15,70,50,0,50
60,85,85,97,85,50,85,60,60,40
40,97,50,70,40,40,70,60,60,70
60,50,60,70,50,50,50,60,60,60
50,50,50,85,85,50,50,60,50,85
98,50,99,85,99,99,99,98,98,50
99,85,70,97,70,50,85,85,50,97
70,97,50,85,85,40,50,50,40,70
40,50,70,70,50,30,60,85,0,97
70,60,30,85,70,99,85,60,60,70
